Clostridium leptum	1535 552397 541000 186802 186801 1239 1783272 2 131567 
Clostridium lentocellum	29360 698776 186803 186802 186801 1239 1783272 2 131567 
Clostridium hylemonae	89153 1506553 186803 186802 186801 1239 1783272 2 131567 
Clostridium hathewayi	154046 1649459 31979 186802 186801 1239 1783272 2 131567 
Clostridium clariflavum	288965 2304692 2304686 186802 186801 1239 1783272 2 131567 
Clostridium botulinum	1491 1485 31979 186802 186801 1239 1783272 2 131567 
Blautia hydrogenotrophica	53443 572511 186803 186802 186801 1239 1783272 2 131567 
Bilophila wadsworthia	35833 35832 194924 213115 28221 68525 1224 2 131567 
Bilophila sp. 4_1_30	693988 2642822 35832 194924 213115 28221 68525 1224 2 131567 
Bifidobacterium animalis	28025 1678 31953 85004 1760 201174 1783272 2 131567 
Bacteroides xylanisolvens	371601 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides vulgatus	821 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides sp. D20	585543 2646097 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides sp. 2_1_33B	469589 2646097 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides sp. 1_1_6	818 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides sp. 1_1_14	469585 2646097 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides ovatus	28116 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides intestinalis	329854 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides dorei	357276 816 815 171549 200643 976 68336 1783270 2 131567 
Bacteroides caccae	47678 816 815 171549 200643 976 68336 1783270 2 131567 
Azospirillum brasilense	192 191 41295 204441 28211 1224 2 131567 
Anaerotruncus colihominis	169435 244127 541000 186802 186801 1239 1783272 2 131567 
Alistipes sp. HGB5	908612 2608932 239759 171550 171549 200643 976 68336 1783270 2 131567 
Alistipes indistinctus	626932 239759 171550 171549 200643 976 68336 1783270 2 131567 
Akkermansia muciniphila	239935 239934 1647988 48461 203494 74201 1783257 2 131567 
Agrobacterium tumefaciens	358 1183400 357 227290 82115 356 28211 1224 2 131567 
Achromobacter xylosoxidans	85698 222 506 80840 28216 1224 2 131567 
Acholeplasma laidlawii	2148 2147 2146 186329 31969 544448 1783272 2 131567 
